,order_id,start_state_abr,end_state_abr,start_city,end_city,start_zip,end_zip,total_volume_inches3,total_distance_miles,total_weight_lbs,total_predicted_hours
2693,12693,tx,tx,houston,houston,77061,77032,1215.0,23.77513,10.0,0.7113889
2694,12694,ca,ca,sacramento,fairoaks,95815,95628,192.0,13.597324,15.0,0.44361112
2695,12695,ca,ca,sanmarcos,yucaipa,92029,92399,1440.0,65.73941,40.0,1.9966667
2696,12696,ny,ny,harrison,newyorkcity,10604,11371,896.0,21.92936,3.0,0.63805556
2697,12697,ca,ca,sanjose,sanfrancisco,95128,94118,125.0,43.17151,5.0,1.0933334
2698,12698,fl,fl,miami,miamibeach,33138,33140,1024.0,3.7001493,20.0,0.24527778
2699,12699,ca,ca,ranchocucamonga,oakpark,91730,91377,1.0,69.50502,1.0,1.5377778
2700,12700,ca,ca,sacramento,sacramento,95817,95816,1.0,1.3039429,1.0,0.13722222
2701,12701,ca,ca,manhattanbeach,hawthorne,90266,90250,2304.0,1.5552362,25.0,0.09916667
2702,12702,tx,tx,fortworth,mckinney,76123,75071,1344.0,55.78148,20.0,1.2275
2703,12703,ca,ca,sanleandro,pleasanton,94577,94588,192.0,15.952912,10.0,0.42972222
2704,12704,ca,ca,sacramento,elkgrove,95823,95757,1.0,4.6656923,1.0,0.24277778
2705,12705,ca,ca,lakeelsinore,highland,92530,92346,1.0,33.083645,1.0,1.2483333
2706,12706,ca,ca,santaclara,sanjose,95051,95124,125.0,6.5930777,2.0,0.33972222
2707,12707,ca,ca,ranchocucamonga,pasadena,91730,91107,8.0,29.150793,2.0,0.8761111
2708,12708,fl,fl,tampa,jacksonville,33609,32218,125.0,183.48227,5.0,3.7380555
2709,12709,fl,fl,fortlauderdale,fortlauderdale,33315,33315,360.0,0.22923341,2.0,0.104166664
2710,12710,ca,ca,rollinghillsestates,orange,90274,92868,2.0,29.538023,2.0,0.9141667
2711,12711,ca,ca,southsanfrancisco,sanfrancisco,94080,94107,125.0,8.636632,15.0,0.38305557
2712,12712,ca,ca,southsanfrancisco,dalycity,94080,94015,192.0,3.8013527,3.0,0.23583333
2713,12713,ca,ca,westcovina,lamirada,91791,90638,1.0,13.018902,1.0,0.6041667
2714,12714,ca,ca,santaclarita,losangeles,91350,90017,1890.0,29.587715,20.0,0.7902778
2715,12715,ca,ca,sandiego,lajolla,92123,92037,5832.0,8.49753,1.0,0.31916666
2716,12716,ca,ca,sacramento,citrusheights,95815,95610,192.0,10.889407,10.0,0.3263889
2717,12717,nc,nc,greensboro,burlington,27410,27215,3375.0,24.945782,15.0,0.6311111
2718,12718,ca,ca,ranchocordova,sacramento,95670,95827,1089.0,2.6113083,1.0,0.11055555
2719,12719,fl,fl,jacksonville,jacksonville,32224,32207,1.0,8.516996,1.0,0.28527778
2720,12720,ca,ca,vannuys,glendale,91401,91203,108.0,11.0089655,2.0,0.3888889
2721,12721,ca,ca,sacramento,sacramento,95815,95843,1728.0,9.356793,50.0,0.3913889
2722,12722,il,il,itasca,chicago,60143,60018,0.0,7.2047753,0.99,0.47277778
2723,12723,il,il,foxrivergrove,desplaines,60021,60018,7776.0,21.375216,38.0,0.6786111
2724,12724,ca,ca,lajolla,escondido,92037,92029,6.0,17.908274,6.0,0.64305556
2725,12725,ca,ca,costamesa,vannuys,92626,91406,11664.0,50.659946,186.0,1.3077778
2726,12726,ca,ca,ranchocucamonga,highland,91701,92346,1.0,20.573895,1.0,0.4575
2727,12727,ca,ca,sandiego,sandiego,92130,92123,480.0,12.906356,10.0,0.42
2728,12728,ny,nj,syosset,livingston,11791,07039,540.0,44.48178,5.0,1.4622222
